№,Учреждение,Регион,Адрес,год,Размер иного межбюджетного трансферта руб
102,Межпоселенческая центральная библиотека Жердевского района Тамбовской области,Тамбовская область,"Тамбовская область, Жердевский  район, город Жердевка, улица Первомайская,  дом 118  ",2019,10000000
103,Центральная библиотека Муниципального казенного учреждения «Межпоселенческая централизованная библиотечная система Кожевниковского района»,Томская область,"Томская область, Кожевниковский район,  село Кожевниково, улица Калинина, 66  ",2019,10000000
104,Молчановская межпоселенческая центральная библиотека Муниципального бюджетного учреждения культуры «Молчановская межпоселенческая централизованная библиотечная система»,Томская область,"Томская область, Молчановский район,  село Молчаново, улица Валикова, 17 «А»  ",2019,10000000
105,Муниципальная Богашевская библиотека-филиал им. Л.Д. Гурковской,Томская область,"Томская область, Томский район, село  Богашево, ул. Новостройка, д.20а  ",2019,5000000
106,Муниципальная библиотека «Компьютерный мир» МАУ «МИБС города Томска»,Томская область,"Томская область, город Томск, ул.  Красноармейская, 135  ",2019,5000000
107,Муниципальная Кисловская библиотека-филиал,Томская область,"Томская область, Томский район, д. Кисловка, ул. Мира, дом 18",2019,5000000
108,Библиотека-филиал № 2 Муниципального бюджетного учреждения «Асиновская межпоселенческая централизованная библиотечная система»,Томская область,"Томская область, Асиновский район, город  Асино, улица Тельмана, 38  ",2019,5000000
109,Библиотека №36 МКУК МЦБС п. Полетаево,Челябинская область,"Челябинская область, п. Полетаево, ул. Полетаевская, 48",2019,5000000
110,Центральная городская библиотека имени В.И.Муравленко муниципального бюджетного учреждения культуры «Централизованная библиотечная система г. Муравленко»,Ямало-Ненецкий АО,"629603, Ямало-Ненецкий автономный округ, город Муравленко, ул. Ленина, 105-А",2019,10000000
116,Муниципальное бюджетное учреждение «Централизованная библиотечная система Прокопьевского муниципального района» Большеталдинская сельская библиотека-филиал 1,Кемеровская область,"653208, Прокопьевский муниципальный район, с. Большая Талда, ул. Вахрушева, № 31.",2019,5000000
135,Хатукайская сельская библиотека-филиал № 16 муниципального казенного учреждения культуры «Межпоселенческая централизованная библиотечная система Красногвардейского района»,Республика Адыгея (Адыгея),"Республика Адыгея,  Красногвардейский район,  аул Хатукай,  улица Школьная дом № 1",2020,5000000
136,Городская детская библиотека муниципального бюджетного учреждения культуры «Централизованная библиотечная система» МО «Город Майкоп»,Республика Адыгея (Адыгея),"Республика Адыгея, г. Майкоп, ул. Димитрова, 23",2020,5000000
137,Муниципальное бюджетное учреждение культуры Центральная библиотека муниципального района Благоварский район Республики Башкортостан,Республика Башкортостан,"452740 , Республики Башкортостан, Благоварский район, с. Языково, ул. Ленина, д.16",2020,10000000
138,Кандринская сельская детская библиотека муниципального автономного учреждения культуры «Межпоселенческая центральная библиотека» муниципального района Туймазинский район Республики Башкортостан,Республика Башкортостан,"Республика Башкортостан, Туймазинский  район, с. Кандры, ул. Нефтяников, д. 20",2020,5000000
139,Асяновская сельская библиотека-филиал №5 муниципального бюджетного учреждения культуры межпоселенческая централизованная библиотечная система муниципального района Дюртюлинский район Республики Башкортостан,Республика Башкортостан,"Республика Башкортостан, Дюртюлинский  район, село Асяново, ул.Ш.Бабича, д.12",2020,5000000
140,Библиотека-филиал №1 с.п. Зязиков-Юрт МКУ «Централизованная библиотечная система Малгобекского муниципального района»,Республика Ингушетия,"РИ,386322, Малгобекский район,  с.п.Зязиков-Юрт, ул. Южная,18",2020,5000000
141,Муниципальное казенное учреждение «Централизованная библиотечная система г. Назрань»,Республика Ингушетия,"Республика Ингушетия, 386101, г.Назрань, Центральный административный округ, ул. Фабричная, 3",2020,5000000
142,Муниципальное бюджетное учреждение «Сортавальская межпоселенческая районная библиотека»,Республика Карелия,"186790, Республика Карелия, г. Сортавала, ул. Гагарина, д.14",2020,10000000
143,Библиотека-филиал № 13 МБУК «Централизованная библиотечная система»,Республика Коми,"Республика Коми, г. Воркута, пос. Воргашор, ул. Воргашорская, д. 13",2020,5000000
144,Ленинская центральная районная библиотека Муниципального бюджетного учреждения культуры Ленинского района Республики Крым «Централизованная библиотечная система»,Республика Крым,"Республика Крым, 298200, Ленинский район, п. Ленино,ул. Дзержинского, д. 4",2020,10000000
