№,Учреждение,Регион,Адрес,год,Размер иного межбюджетного трансферта руб
308,Центральная районная библиотека муниципального бюджетного учреждения Кугарчинская централизованная библиотечная система муниципального района Кугарчинский район Республики Башкортостан,Республика Башкортостан,"453330, Республика Башкортостан,  Кугарчинский район, с. Мраково, ул. З.Биишевой,90в",2021,10000000
309,Наумовская сельская библиотека № 35 муниципального бюджетного учреждения муниципального района Стерлитамакский район Республики Башкортостан «Централизованная библиотечная система»  ,Республика Башкортостан,"453167, Республика Башкортостан,  Стерлитамакский район, село Наумовка, улица Ленина,  дом 16",2021,5000000
310,"Старокалмашевская сельская библиотека, филиал муниципального автономного учреждения культуры «Чекмагушевская центральная  межпоселенческая библиотека»",Республика Башкортостан," 452206, Республика Башкортостан, Чекмагушевский район, село  Старокалмашево, ул.Мира, д. 1А",2021,5000000
311,Библиотека «Хуртагинского» сельского поселения муниципального бюджетного учреждения культуры «Централизованная библиотечная система»  муниципального образования «Закаменский район»,Республика Бурятия ,"671942, Республика Бурятия, Закаменский  район, улус Хуртага, улица Центральная, 37а",2021,5000000
312,Муниципальное бюджетное учреждение «Централизованная библиотечная система» городского округа «город Каспийск» имени Фазу Алиевой»,Республика Дагестан ,"368300, Республика Дагестан, г. Каспийск, ул.Советская, 4 А",2021,10000000
313,Детская библиотека - филиал № 1 муниципального бюджетного учреждения «Централизованная библиотечная система» городского округа с внутригородским делением «город Махачкала»,Республика Дагестан ,"367000, Республика Дагестан, г. Махачкала, ул. Оскара (Манташева), 15",2021,5000000
314,Муниципальное казенное учреждение «Центральная районная библиотека централизованной библиотечной системы Черноземельского районного муниципального образования Республики Калмыкия»,Республика Калмыкия ,"Республика Калмыкия, 359240, Черноземельский район, п.Комсомольский, ул.Дзержинского, д.5",2021,5000000
315,Районное муниципальное казенное учреждение культуры «Центральная районная библиотека имени K.Л. Мхце»,Карачаево-Черкесская Республика,"369111, Карачаево-Черкесская Республика, Абазинский район, аул Псыж, улица Шоссейная, 168 Б",2021,10000000
316,Коткозерская сельская библиотека Муниципального казенного учреждения «Олонецкая централизованная библиотечная система»,Республика Карелия,"186012 Республика Карелия, Олонецкий район, деревня Коткозеро, улица Олонецкая, дом 10",2021,5000000
317,Вяртсильская городская библиотека Муниципального бюджетного учреждения «Сортавальская межпоселенческая районная библиотека»,Республика Карелия,"186757, Республика Карелия, г. Сортавала, п. Вяртсиля, ул. Мира, д.13",2021,5000000
318,Муниципальное бюджетное учреждение культуры «Централизованная библиотечная система» (г. Воркута),Республика Коми,"169900 Республика Коми, г. Воркута, ул. Ленина,  д. 50",2021,10000000
319,Детская библиотека-филиал № 14 МУ «Центральная библиотека МОГО «Ухта»,Республика Коми,"169300 Республика Коми, г. Ухта, ул. Пушкина,  д. 25",2021,5000000
320,Муниципальное бюджетное учреждение «Городская библиотека им. Н. В. Гоголя» города Саки Республики Крым,Республика Крым,"Республика Крым, 296505,   г. Саки, ул. Советская, д. 15  ",2021,5000000
321,Ароматновская библиотека-филиал № 1 Муниципального казенного учреждения культуры «Белогорская централизованная библиотечная система» Республики Крым,Республика Крым,"Республика Крым, 297635, Белогорский  район, село Ароматное, переулок Мира,  д. 2",2021,5000000
322,Центральная районная библиотека Муниципального бюджетного учреждения культуры «Хангаласская межпоселенческая централизованная библиотечная система»,Республика Саха (Якутия),"678000, Республика Саха (Якутия), Хангаласский улус, г.Покровск, ул. Братьев Ксенофонтовых, д.22",2021,10000000
323,Муниципальное учреждение культуры Алданского района «Межпоселенческая центральная районная библиотека им. Н.А.Некрасова»,Республика Саха (Якутия),"Республика Саха (Якутия), 678900, г. Алдан, ул. Дзержинского, 40",2021,10000000
324,Муниципальное бюджетное учреждение «Детская модельная библиотека села Бердигестях» муниципального образования «Бердигестяхский наслег» Горного улуса Республики Саха (Якутия),Республика Саха (Якутия),"Республика Саха (Якутия) Горный улус, село Бердигестях, улица Молодежная, дом 1",2021,5000000
325,Библиотека № 9 муниципального казенного учреждения «Межпоселенческая информационно-библиотечная система» муниципального образования «Мирнинский район» Республики Саха (Якутия),Республика Саха (Якутия),"Республика Саха (Якутия), Мирнинский район, п. Светлый, ул. Вилюйская, 2",2021,5000000
326,Центральная районная детская библиотека муниципального бюджетного учреждения культуры «Барун-Хемчикская централизованная библиотечная система»,Республика Тыва,"РФ, 668040, Республика Тыва, Барун-Хемчикский район, с. Кызыл-Мажалык, ул. Чургуй-оола, 49.",2021,5000000
327,Муниципальное бюджетное учреждение культуры «Централизованная библиотечная система ЧедиХольского района». Холчукский сельский филиал № 2,Республика Тыва,"Республика Тыва, 668330 Чеди-Хольский район,  с. Холчук ул.Новая 3",2021,5000000
328,Библиотека-филиал имени Н.К. Крупской муниципального бюджетного учреждения «Централизованная библиотечная система города Ижевска»,Удмуртская Республика,"426065, Удмуртская Республика, Устиновский район, г. Ижевск, ул.  Автозаводская, 18",2021,5000000
329,Центральная городская детская библиотека им. Е.А. Пермяка муниципального бюджетного учреждения «Централизованная библиотечная система» города Воткинска,Удмуртская Республика,"427430, Удмуртская республика, г. Воткинск,  ул. 1 Мая, д. 7 А",2021,5000000
330,Кильмезский сельский филиал № 8 муниципального бюджетного учреждения культуры Сюмсинского района «Централизованная библиотечная система»,Удмуртская Республика,"427390, Удмуртская Республика, Сюмсинский  район, с.Кильмезь, ул.Гагарина, д.26в",2021,5000000
331,Центральная библиотека Муниципального бюджетного  учреждения культуры муниципального образования город  Саяногорск «Саяногорская централизованная  библиотечная система»,Республика Хакасия,"655602, Республика Хакасия, город Саяногорск,  Ленинградский мкр., д.21 В",2021,10000000
332,Юношеская библиотека Муниципального бюджетного  учреждения культуры «Усть-Абаканская  централизованная библиотечная система»,Республика Хакасия,"655100, Республика Хакасия, рп.Усть-Абакан,  ул.Спортивная, 6а",2021,5000000
333,Верхне-Наурская библиотека Муниципального казенного учреждения «Централизованная библиотечная система» Надтеречного муниципального района,Чеченская Республика,"366812, Чеченская Республика., Надтеречный  район, село Верхний Наур, ул. Новая, 1",2021,5000000
334,Гелдаганская сельская библиотека - филиал № 3 Муниципального бюджетного учреждения культуры «Централизованная библиотечная система» Курчалоевского муниципального района,Чеченская Республика,"366313, Чеченская Республика, район  Курчалоевский, село Гелдаган",2021,5000000
335,Атлашевская сельская библиотека муниципального  бюджетного учреждения «Централизованная  библиотечная система» Чебоксарского района Чувашской  Республики,Чувашская Республика - Чувашия,"429509, Чувашская Республика, Чебоксарский район,  поселок Новое Атлашево, ул. Парковая, 5.",2021,5000000
336,Центральная городская библиотека муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система города Славгорода»,Алтайский край,"658820, Алтайский край, г. Славгород, ул.  Луначарского, 144",2021,10000000
337,"Центральная районная библиотека муниципального района «Агинский район» Забайкальского края, головная библиотека ММБУК «ЦБС МР «Агинский район»",Забайкальский край,"Забайкальский край, пгт. Агинское, ул.Базара Ринчино, 75",2021,10000000
338,Сельская библиотека сельского поселения «Хада-Булакское» - филиал № 14 МУК «Борзинская межпоселенческая центральная библиотека»,Забайкальский край,"Забайкальский край, Борзинский район, с. Хада-Булак, ул. Юбилейная, 4",2021,5000000
339,"Узонская сельская библиотека, филиал № 9 МБУК «Дульдургинская межпоселенческая центральная библиотека им. Ж.Тумунова»",Забайкальский край,"Забайкальский край, 687215, Дульдургинский район, село Узон, улица Октябрьская, 51",2021,5000000
340,Муниципальное казенное учреждение «Библиотечная система Усть-Камчатского сельского поселения»,Камчатский край,"Камчатский край, Усть-Камчатский район, п. Усть-Камчатск, ул. Советская, 1",2021,5000000
341,Центральная библиотека Муниципального бюджетного учреждения культуры «Межпоселенческая централизованная библиотечная система»,Камчатский край,"Камчатский край, Елизовский район, г.Елизово, ул. Рябикова, дом № 40",2021,10000000
342,Муниципальное бюджетное учреждение «Крымская межпоселенческая районная библиотека» муниципального образования Крымский район,Краснодарский край,"Краснодарский край, 353380, Крымский  район, город Крымск, улица  Коммунистическая, 39 а",2021,10000000
343,Городская детская библиотека-филиал № 7 муниципального бюджетного учреждения «Централизованная система детских библиотек» муниципального образования город Новороссийск,Краснодарский край,"Краснодарский край, 353920,  г. Новороссийск, ул. Куникова, дом 62",2021,5000000
344,Муниципальное бюджетное учреждение культуры «Октябрьская поселенческая библиотека» Октябрьского сельского поселения Крыловского района,Краснодарский край,"Краснодарский край, 352091, Крыловский район,  станица Октябрьская, переулок Зелёный, 3",2021,5000000
345,Центральная городская библиотека им. Е. А. Котенко муниципального казенного учреждения культуры Ейского городского поселения Ейского района «Ейская централизованная библиотечная система»,Краснодарский край,"Краснодарский край, 353682, Ейский  район, город Ейск, улица  Б.Хмельницкого, дом № 86",2021,5000000
346,Центральная библиотека им. А. Чехова муниципального бюджетного учреждения культуры «Владивостокская централизованная библиотечная система»,Приморский край,"690048, Приморский край, г.Владивосток, проспект 100-летия Владивостока, 48",2021,10000000
347,Муниципальное бюджетное учреждение культуры «Централизованная библиотечная система имени В. К. Арсеньева» Арсеньевского городского округа,Приморский край,"692331, Приморский край, г. Арсеньев, ул. Островского, 25",2021,5000000
348,Библиотека-филиал № 5 муниципального казенного учреждения культуры «Централизованная библиотечная система» Артёмовского городского округа Приморского края,Приморский край,"Приморский край, г. Артем, улица Ангарская, дом 8",2021,5000000
349,Межпоселенческая центральная библиотека Нанайского муниципального района Муниципального бюджетного учреждения культуры «Районная межпоселенческая централизованная библиотечная система» Нанайского муниципального района Хабаровского края,Хабаровский край,"Хабаровский край, Нанайский район, с. Троицкое, улица 40 лет Победы, д.10",2021,10000000
350,Библиотека семейного чтения поселка Мухен муниципального бюджетного учреждения культуры «Библиотечный координационный центр муниципального района имени Лазо»,Хабаровский край,"Хабаровский край,682916, район имени Лазо, рабочий посёлок Мухен, улица, Молодёжная, дом 9",2021,5000000
351,Муниципальное бюджетное учреждение культуры «Константиновская межпоселенческая центральная районная библиотека»,Амурская область,"Амурская область, Константиновский район, с. Константиновка, ул. Ленина, 84",2021,10000000
352,Муниципальная библиотека имени Бориса Машука муниципального бюджетного учреждения культуры «Муниципальная информационная библиотечная система»,Амурская область,"Амурская область, 675028, г. Благовещенск, ул. Институтская, дом 10/1",2021,5000000
353,Библиотека-филиал № 2 с.Березовка муниципального бюджетного учреждения культуры «Ивановская межпоселенческая центральная библиотека»,Амурская область,"Амурская область, Ивановский район, с. Березовка, ул. Ленина, д.14",2021,5000000
354,Библиотека Каргополь-2 – структурное подразделение  муниципального бюджетного учреждения культуры  «Няндомская центральная районная библиотека»,Архангельская область,"164232, Архангельская область,  г. Няндома, микрорайон Каргополь - 2,  ул. Школьная, д. 1 «А»",2021,5000000
355,Детская библиотека-филиал № 1 Муниципального  бюджетного учреждения культуры «Библиотечная  система Коношского района»,Архангельская область,"164010, Архангельская область, Коношский район,  пос. Коноша, улица Лесная, д.1А",2021,5000000
356,Центральная библиотека муниципального бюджетного учреждения культуры «Централизованная библиотечная система Яковлевского городского округа»,Белгородская область,"Белгородская область, 309070 Яковлевский городской округ, город Строитель, ул. Юбилейная, д.1",2021,10000000
357,Библиотека № 6 Муниципального бюджетного учреждения культуры «Централизованная система общедоступных библиотек» города Брянска,Брянская область ,"243024, Брянская область, город Брянск, ул. Ильича, 4",2021,5000000
358,Библиотека-филиал №5 муниципального бюджетного учреждения культуры «Централизованная библиотечная система» округа Муром,Владимирская область ," 602267, Владимирская область, округ Муром, ул.  Л. Толстого, д.52",2021,5000000
359,Библиотека семейного чтения №2 муниципального бюджетного учреждения культуры «Централизованная библиотечная система города Александрова»,Владимирская область ,"601655, Владимирская область, г.Александров, ул. Королева, д.5",2021,5000000
360,Центральная районная библиотека муниципального бюджетного учреждения культуры «Межпоселенческая библиотечная система» Октябрьского муниципального района Волгоградской области,Волгоградская область,Волгоградская область Октябрьский район р.п. Октябрьский ул. Центральная 24 «А»,2021,10000000
361,Библиотека-филиал № 16 муниципального учреждения «Муниципальная информационная библиотечная система»  ,Волгоградская область,"404130, Волгоградская область город Волжский, проспект Ленина, дом 71",2021,5000000
362,Центральная районная библиотека им. Н. Рубцова муниципального бюджетного учреждения культуры  «Тотемская централизованная библиотечная система»,Вологодская область,"161300, Вологодская обл., г. Тотьма, ул. Ленина, д. 21",2021,10000000
363,Муниципальное казенное учреждение культуры Воронежской области Лискинского муниципального района Лискинская центральная районная библиотека,Воронежская область,"397901, Воронежская обл., Лискинский район, г. Лиски, ул. Красных зорь, д. 1 «б»",2021,10000000
364,Детский отдел муниципального учреждения культуры «Гаврилово-Посадская городская библиотека»,Ивановская область,"Ивановская область, город Гаврилов Посад, площадь Советская, дом 9",2021,5000000
365,Детская библиотека муниципального учреждения культуры Межпоселенческая централизованная библиотечная система Пучежского муниципального района,Ивановская область,"Ивановская область, 155360, г. Пучеж, ул. Советская, д. 13",2021,5000000
366,Светлогорская центральная городская детская библиотека МБУК «Светлогорская централизованная библиотечная  система»,Калининградская область,"238560, Калининградская область, 238560, г. Светлогорск, ул. Пионерская, д. 30",2021,5000000
367,Детская городская библиотека Муниципальногобюджетного учреждения «Централизованная библиотечная система» муниципального образования  «Черняховский городской округ»,Калининградская область,"238150, Калининградская обл., г. Черняховск, ул. Калинина, д.4.",2021,5000000
368,"Библиотека семейного чтения «Книжная радуга»,  Муниципального автономного учреждения культуры  «Муниципальная информационно-библиотечная система»  г.Кемерово",Кемеровская область – Кузбасс,"650903, Кемеровская область,   г.Кемерово, ж.р.Кедровка,  ул.Новогодняя, 2",2021,5000000
369,Детская библиотека Муниципального бюджетного учреждения Централизованная библиотечная система  Калтанского городского округа,Кемеровская область – Кузбасс,"652741, Кемеровская область, город Калтан,  улица Горького, дом 16",2021,5000000
370,Муниципальное казенное учреждение культуры Искровская сельская библиотека Биртяевского сельского поселения Котельничского района Кировской области,Кировская область,"612641, Кировская область,   Котельничский район, п. Ленинская Искра, улица Ленина, № 8",2021,5000000
371,Октябрьская сельская библиотека муниципального казенного учреждения культуры «Мурашинская межпоселенческая библиотечная система»,Кировская область,"613730, Кировская область  Мурашинский район  п. Октябрьский  ул. Коммунистическая, д. 5",2021,5000000
372,Центральная библиотека муниципального бюджетного  учреждения культуры «Централизованная библиотечная  система городского округа город Шарья Костромской  области»,Костромская область," 157500, Костромская область, город  Шарья, улица Чапаева, дом 32.",2021,10000000
373,Библиотека - филиал №6 муниципального бюджетного  учреждения города Костромы «Централизованная  библиотечная система»,Костромская область,"156016, Костромская область, город  Кострома, микрорайон Давыдовский-2, д. 29",2021,5000000
374,Муниципальное казенное учреждение культуры «Межпоселенческая центральная библиотека Далматовского района»,Курганская область,"Курганская область, 641730, Далматовский район, город Далматово, ул. Советская, дом №184",2021,10000000
375,Муниципальное казенное учреждение культуры «Межпоселенческая библиотека Черемисиновского района Курской области имени В.М. Клыкова»,Курская область ,"306440 Курская область,  Черемисиновский район,  п. Черемисиново, ул. Мира, д. 4",2021,10000000
376,Муниципальное бюджетное учреждение «Библиотека -  социокультурный центр «Тэффи»,Ленинградская область,"187556, Ленинградская область, Тихвинский район,  город Тихвин, 4 микрорайон, дом 39",2021,5000000
377,Петровская сельская библиотека-филиал № 22  муниципального бюджетного учреждения культуры  «Добринская централизованная библиотечная система»,Липецкая область," 399446, Липецкая область, Добринский  район, п.Петровский, ул. Победы д.1",2021,5000000
378,Центральная библиотека муниципального бюджетного учреждения «Центральная библиотека Ягоднинского городского округа»,Магаданская область ,"Магаданская область, 686230, Ягоднинский городской округ, пос. Ягодное, ул. Спортивная, д. 19",2021,10000000
379,Детская библиотека муниципального казенного учреждения культуры «Ольская центральная библиотека им. И.А. Варрена» муниципального образования «Ольский городской округ»,Магаданская область ,"Магаданская область, Ольский городской округ, пос. Ола, ул. Советская, д. 31",2021,5000000
380,Детско-юношеский центр чтения муниципального бюджетного учреждения культуры города Магадана «Централизованная библиотечная система»,Магаданская область ,"Магаданская область, 685030, г. Магадан, ул. Гагарина, д. 44/1",2021,5000000
381,Детская районная библиотека муниципального бюджетного учреждения культуры «Межпоселенческая централизованная библиотечная система» Тенькинского городского округа,Магаданская область ,"Магаданская область, Тенькинский городской округ, пос. Усть-Омчуг, ул. Горняцкая, д.41",2021,5000000
382,Библиотека-филиал № 14 муниципального бюджетного учреждения культуры городского округа Королёв Московской области «Централизованная библиотечная система»,Московская область,"141068, Московская область, г. Королёв, мкр.  Текстильщик, ул. Тарасовская, д. 9",2021,5000000
383,Детская библиотека имени В.В. Бианки муниципального бюджетного учреждения культуры «Библионика»,Новгородская область ,"Новгородская область, 173023, г. Великий Новгород, улица Ломоносова, дом 12",2021,5000000
384,Лузинская библиотека-филиал №11 Муниципального бюджетного учреждения «Централизованная библиотечная система Омского муниципального района Омской области»,Омская область,"Омская область, Омский район, с. Лузино, ул. Майорова д.20",2021,5000000
385,Первая детская библиотека Бюджетного учреждения культуры города Омска «Омские муниципальные библиотеки»  ,Омская область,"Омская область, 644121, город Омск, ул. Стальского, д. 7",2021,5000000
386,Илекская районная детская библиотека-филиал муниципального бюджетного учреждения культуры «Межпоселенческая Централизованная библиотечная система» Илекского района Оренбургской области,Оренбургская область ,"Оренбургская область, Илекский район, с. Илек, ул. Октябрьская, д. 23б",2021,5000000
387,Центральная городская библиотека имени И. А. Новикова муниципального бюджетного учреждения «Централизованная библиотечная система г. Мценска»,Орловская область,"Орловская область, 303031, г. Мценск, ул. Гагарина, д. 87",2021,10000000
388,Юношеская библиотека-филиал № 8 Муниципального казенного учреждения культуры «Централизованная библиотечная система города Орла»,Орловская область,"Орловская область, 302038, г. Орел, ул. Рощинская, д. 25",2021,5000000
389,Муниципальное учреждение культуры «Межпоселенческая центральная районная библиотека Колышлейского района Пензенской области»,Пензенская область,"Пензенская область, 442830,  Колышлейский район, р.п. Колышлей,  улица Садовая, дом № 17",2021,10000000
390,Городская библиотека №2 имени М. Е. СалтыковаЩедрина Муниципального бюджетного учреждения «Централизованная библиотечная система города Пензы»,Пензенская область,"440011 Пензенская обл., г. Пенза,  проспект Победы, 6",2021,5000000
391,Печорская районная детская модельная библиотека МБУК «Печорская центральная районная библиотека»,Псковская область,"Псковская обл., г. Печоры, ул. Рижская, д. 1",2021,5000000
392,Полонская библиотека-филиал № 33 МБУК «Порховская централизованная библиотечная система»,Псковская область,"Псковская область, Порховский район, деревня Полоное, ул. Аудрини, д. 27",2021,5000000
393,Детская экологическая библиотека «Радуга» обособленное структурное подразделение МАУК «Централизованная библиотечная система» г. Пскова  ,Псковская область,"Псковская область, 180019, г. Псков, улица Новосёлов, дом 11",2021,5000000
394,Центральная детская библиотека им. А. В. Ганзен обособленное подразделение Муниципального бюджетного учреждения культуры «Центральная библиотека им. Л.А. Малюгина»,Рязанская область,"Рязанская обл., 391300, г. Касимов, ул.Советская , д. 9/2.",2021,5000000
395,"Елатомская поселковая библиотека, обособленное структурное подразделение Муниципального учреждения культуры «Центральная районная межпоселенческая библиотека Касимовского муниципального района»",Рязанская область,"Рязанская область, 391351, Касимовский  район, р.п. Елатьма, пл. Ленина, д. 4",2021,5000000
396,Центральная городская библиотека им. Н.К. Крупской муниципального бюджетного учреждения культуры городского округа Самара «Самарская муниципальная информационно-библиотечная система»,Самарская область,"Самарская область, 443101, г.о. Самара,  улица Маяковского, дом 19",2021,10000000
397,Детская библиотека № 14 филиал муниципального бюджетного учреждения культуры городского округа Самара «Централизованная система детских библиотек»,Самарская область,"Самарская область, 443020, г.о. Самара,  улица Ленинградская, дом 73А",2021,5000000
398,Филиал № 5 муниципального бюджетного учреждения культуры «Библиотечная информационная сеть» городского округа Новокуйбышевск Самарской области,Самарская область,"Самарская область, 446204, г.о.  Новокуйбышевск, проспект Победы, дом 7",2021,5000000
399,Центральная городская библиотека Березовского муниципального бюджетного учреждения культуры «Централизованная библиотечная система»  ,Свердловская область ,"623701 Свердловская обл., г. Берёзовский, ул. Гагарина, д. 7",2021,10000000
400, Сафоновская центральная районная библиотека муниципального бюджетного учреждения культуры «Сафоновская районная централизованная библиотечная система»,Смоленская область,"215500, Смоленская область, г. Сафоново, ул.  Красногвардейская, д.35",2021,10000000
401,Городская библиотека-филиал №3 Муниципального бюджетного учреждения культуры «Межпоселенческая центральная библиотека» Жердевского района Тамбовской области,Тамбовская область,"393671, Тамбовская обл., г.Жердевка, ул.Интернациональная, д.8",2021,5000000
402,Детская библиотека - филиал муниципального бюджетного учреждения культуры «Межпоселенческая библиотека Лихославльского района»,Тверская область ,"Тверская обл., 171210, г.Лихославль, ул.Первомайская, д.16",2021,5000000
403,Центр детского и семейного чтения МБУК «Вышневолоцкая центральная библиотека»,Тверская область ,"Тверская область, город Вышний Волочёк, ул. 9 января, д.21",2021,5000000
404,Детская библиотека муниципального учреждения «Андреапольская централизованная библиотечная система»,Тверская область ,"Тверская обл., Андреапольский район, город Андреаполь, площадь Ленина, д. 1.",2021,5000000
405,Муниципальное казенное учреждение культуры  «Первомайская поселенческая библиотека» Детская  библиотека,Тульская область,"301212, Тульская область, Щекинский  район, р.п. Первомайский, проспект  Улитина, 4а",2021,5000000
406,Радищевская центральная детская библиотека муниципального казенного учреждения культуры «Межпоселенческая библиотека» муниципального образования «Радищевский район» Ульяновской области,Ульяновская область,"433910, Ульяновская область, Радищевский  район, р.п.Радищево, ул.Свердлова, д.16",2021,5000000
407,Отдел - специализированная библиотека №17 «Содружество» муниципального бюджетного учреждения культуры «Централизованная библиотечная система»,Ульяновская область,"432071, г. Ульяновск, ул. Вернхеполевая, д. 13",2021,5000000
408,Центральная библиотека им. М.Ю. Лермонтова муниципального учреждения культуры «Централизованная библиотечная система города Ярославля»,Ярославская область,"Ярославская область, 150049, город Ярославль, проспект Толбухина, 11",2021,10000000
409,Г ородская библиотека имени Александра Невского муниципального учреждения культуры «Централизованная библиотечная система»,Ярославская область,"Ярославская область, 152024, город Переславль-Залесский, улица Московская, д.57",2021,5000000
410,Библиотека-филиал № 9 Государственного бюджетного учреждения культуры города Севастополя «Централизованная библиотечная система для детей»,город федерального значения Севастополь,"299043, город Севастополь, улица Невская, дом 5",2021,5000000
411,Библиотека-филиал № 6 Г осударственного бюджетного учреждения культуры города Севастополя «Региональная информационно - библиотечная система»,город федерального значения Севастополь,"299058 г. Севастополь, ул. Пролетарская, д. 38",2021,5000000
412,Библиотека-филиал № 15 п. Красное государственного бюджетного учреждения культуры Ненецкого автономного округа «Ненецкая центральная библиотека имени А.И. Пичкова»,Ненецкий атономный округ,"Ненецкий автономный округ, Заполярный район, 166715 п. Красное, ул. Мира, д. 23А",2021,5000000
413,Центральная районная библиотека муниципального бюджетного учреждения культуры «Межпоселенческая библиотека Советского района»,Ханты-Мансийский автономный округ - Югра,"628240, ХМАО-Югра г.Советский, ул. Кирова, д.8В",2021,10000000
414,Библиотека детского и семейного чтения муниципального бюджетного учреждения культуры «Централизованная библиотечная система» города Салехарда, Ямало-Ненецкий автономный округ ,"629007, Ямало-Ненецкий автономный округ,  город Салехард, ул. Свердлова, дом 17",2021,5000000
415,Библиотека № 2 «Златослово» муниципального бюджетного учреждения культуры «Централизованная библиотечная система» муниципального образования город Ноябрьск, Ямало-Ненецкий автономный округ ,"629811, Ямало-Ненецкий автономный округ, г.  Ноябрьск, ул. Транспортная, д. 8.",2021,5000000
416,Отделение «Панаевская библиотека» муниципального бюджетного учреждения культуры «Ямальская централизованная библиотечная система», Ямало-Ненецкий автономный округ ,"629707, Ямало-Ненецкий автономный округ,  Ямальский район, село Панаевск, ул. Обская,  д. 9",2021,5000000
